well_id,corrected_mni_x,corrected_mni_y,corrected_mni_z
146022012,-4.47960981087244,-39.3155062166672,-41.1807763321885
139428011,-8.396730705038308,-27.585262738681894,-32.4174439328375
139428045,-5.845719207406289,-23.4717132048244,-25.624858032638997
139428061,-1.20602813763448,-36.471360179272295,-23.4519806497927
139428077,-8.8055623760775,-38.2156450128493,-22.812913817901002
139428075,-3.08232901556306,-31.3838033490483,-20.2868981240604
139428139,-4.4638632980028605,-37.243996486289895,-18.9398405243007
127687855,-11.1208808758323,-5.16776597286195,-0.4776670500320071
139379729,-28.5149716309373,-24.627213622234397,-7.448866295649442
139379898,-37.9956272459838,-26.492003702228107,-0.8465248587109141
139379882,-36.51006874781661,-25.6375756031593,-4.00565648921956
139379850,-30.3807865750763,-25.725006392217303,-10.4859254382593
139379810,-35.28473628898529,-25.301376605348395,-6.24155469420972
139379780,-27.554358620031294,-24.5032614100482,-7.39243575964613
139379764,-29.5544694772097,-25.639308127369798,-10.615052185299099
139379762,-13.9127927810001,-25.6007371182939,2.46984229205755
139379880,-10.852744407979,-25.558608040631103,1.21715911145517
139379848,-15.4605976805635,-25.439111481770002,5.01458925292177
139379792,-21.795517007400694,-25.745353980370197,7.4614827588148085
139379776,-18.3168403655517,-25.5245181051822,6.501649654936191
139379760,-11.4219170755075,-25.3637232272471,10.611366302424699
139379725,-29.8169320995468,-27.6478433889575,6.72768012435233
139379896,-9.51211142629465,-25.4078561953679,0.947074736482037
139379727,-21.5045633060008,-24.5926673152873,-3.50351880637983
139379908,-14.8870886246277,-17.7192493458728,-9.14128147821254
139379774,-7.43149461614117,-17.9664613086855,-8.30140229299796
139379862,-3.26144491001044,-18.4565789486509,-7.737902846565301
139379892,-19.0796312228515,-17.8544634768449,-2.78884327740117
139379876,-19.046475560494105,-17.671102501635698,-3.65959921707523
139379860,-21.5824184044601,-17.8662205375191,10.312555471758099
139379806,-10.899006798771,-16.744441336241806,2.9552925383794504
139379894,-15.0858339017165,-18.6330065392978,18.7224832672824
139379804,-8.620657055091991,-15.9250748663394,11.4191922101763
139379788,-25.101530860343104,-17.2893385320027,-3.69652239546345
139379756,-32.7936990862906,-18.812474303716602,2.08421819000725
139379890,-27.1018247559453,-38.36021272001071,4.62133340180454
139379874,-12.8408150426825,-38.5923342733897,-5.67370599285339
139379858,-18.8574212614016,-37.9498124049934,0.6793132389534939
139379786,-24.114600564510198,-37.813808301200396,2.20146872759813
139379802,-23.407272816356503,-37.732740626440396,1.25429668345344
139379842,-30.710137188081198,-38.3013900527128,10.244498814781199
139379906,-23.347090005883302,-37.7038915572611,2.08476437084852
139379721,-17.7805061961747,-38.0745369153842,0.478309185570623
126435041,-12.827195847910302,-48.9558028098336,59.4903538097468
126435073,-1.4938650233051598,-46.466989462362,35.89961407641829
126435137,-34.8299121873632,-46.1672034514902,52.35358470063561
126435105,-35.3386744298014,-45.7903237698576,55.6486706959684
126435011,-1.97842462432609,-67.8915261646008,58.38127158888911
126434979,-18.3603594348303,-66.5197220049751,35.2279183665987
126435153,-17.958648140053302,-69.2768707850224,67.8580556992969
126435027,-40.41167767593421,-69.0374329826485,50.7573370135091
126435091,-5.2731347623023614,-67.8646890271104,-0.24721584890464104
126435059,-14.8936132226439,-68.0306472292419,-6.22299152583079
126435155,-34.6802669646431,-72.5464096315326,-10.654359906202199
126434997,-5.21291191882599,-80.3995381261136,56.09410731890549
126435125,-27.620784786743396,-83.74262947304929,-17.4836939316403
126435093,-7.42733219923512,-80.77600785770271,-13.965937466765
126435095,0.0559586545242696,-89.6978814121838,-4.64473302361389
126435063,-18.7599656344583,-88.72528362234439,31.050533053825607
126435009,-7.61279651913388,-57.51782559162621,47.4321097622626
126434532,-16.608498956788303,-60.355484869093196,-0.91594497755251
126434469,-2.64941498108926,-57.666081536344,8.02190195132629
126434359,-52.09168523921989,-58.5011563376968,30.085210599571802
126434583,-58.664605926678895,-59.6831371023055,26.0888551001268
126434565,-53.8306708807629,-57.2784120852332,43.631228729035904
126434472,-54.524161186527394,-58.8239110858653,0.11015387518508
126434329,-64.4752892921707,-48.9776866426367,-2.21254516108876
126434399,-6.153380156063862,-22.138756516227797,47.6727867471414
126434381,-5.89820041240573,-22.229277100312,51.05636297299021
126434326,-25.044551581694893,1.18994899435577,58.6723570339857
126434502,-5.47378480787278,-37.419939563210896,34.0221963199206
126434483,-0.908824742141193,-38.5990732151752,51.4493675052564
126434463,-29.7047787885068,-38.243832865738895,-17.2984376926001
126434397,-53.0031571660077,-36.94597871593911,-20.1067443328917
126434527,-67.26433561107389,-39.3731085827289,-14.947968367603801
126434322,-35.85648698287879,-27.117948418757702,-20.135530808798002
126434557,-47.60182564620689,-26.8039971148869,-23.501006351030693
126434437,-59.281015609438285,-27.297676622347694,-25.65509067476989
126434411,-58.3737370481987,-27.658973362955894,-35.623420340985604
126434395,-61.9786323663128,-27.437976863688306,-24.5381426419236
126432591,-46.75492288591022,-18.471639097819,54.5037462015827
126434993,-45.73084123237229,-18.3927388143537,54.4109505273071
126432558,-40.462753016147104,-18.624661880206002,68.1489549325955
126432608,-61.1659233157849,-20.6981498973348,43.0246911379258
